electricity_kwh,diesel_litres,petrol_distance_km,diesel_distance_km,ev_electricity_kwh,college_bus_distance_km,public_bus_passenger_km,motorcycle_passenger_km,auto_passenger_km,bicycle_passenger_km,walking_passenger_km,waste_landfill_kg,compost_waste_kg,water_consumption_m3,methane_kg,nitrous_oxide_kg
20933.51,65.57,140.23,99.18,22.29,156.68,2422.25,2092.18,305.59,59.87,131.94,587.7,84.67,957.69,5.38,0.33
26620.34,52.28,498.7,139.66,34.93,259.53,4346.83,1019.21,159.04,168.29,185.83,806.75,84.03,954.55,3.17,0.79
26736.67,55.28,219.89,115.86,36.87,255.36,5926.23,1355.61,502.24,114.94,220.67,676.56,110.87,1019.45,6.71,0.73
27467.38,45.59,356.45,175.39,13.7,100.91,6962.84,1864.59,193.14,13.51,85.58,567.57,83.25,1587.84,9.59,0.78
26572.91,51.98,236.4,159.49,10.59,177.88,6664.96,3215.99,403.11,115.24,271.57,500.76,62.44,1255.42,4.89,0.42
27993.3,75.89,177.49,77.4,12.44,112.1,6994.47,3435.4,840.43,173.94,255.6,565.18,109.43,1583.93,9.12,0.72
27598.15,70.32,251.57,192.4,28.84,217.39,5813.54,2931.16,592.58,114.94,75.53,709.41,97.47,1053.19,3.5,0.64
19876.09,63.98,165.4,153.8,16.4,182.29,5199.13,1336.56,653.38,174.2,156.99,485.41,78.95,694.01,7.48,0.58
26595.12,117.56,383.47,64.69,5.28,135.66,4647.17,1611.77,545.96,127.94,229.51,453.71,78.75,1053.45,7.66,0.35
27385.88,65.49,209.94,116.34,30.89,232.91,1630.97,3157.02,658.57,55.2,109.0,512.45,38.85,973.01,2.93,0.43
27303.04,103.81,264.77,143.33,15.74,182.83,2609.83,3461.87,298.45,192.17,133.57,692.9,102.89,950.4,9.93,0.73
26540.63,65.89,141.31,118.43,12.91,257.84,1526.58,1395.51,226.08,243.33,99.48,772.13,50.65,1055.31,2.11,0.44
27718.39,101.63,259.42,216.27,20.21,153.88,5259.17,2014.09,358.49,184.16,144.67,663.24,58.1,1029.93,3.79,0.51
26892.17,92.22,224.45,185.92,16.03,93.87,3391.69,3490.54,381.95,211.51,140.71,485.85,69.18,1515.69,8.04,0.16
20617.29,58.59,202.69,133.19,27.81,122.94,1934.22,1160.33,221.85,46.02,196.08,499.61,92.93,961.02,5.75,0.3
26722.32,78.37,362.24,130.98,17.65,255.52,4124.99,1443.35,719.5,85.07,288.24,661.94,76.23,1189.33,9.54,0.27
28440.38,108.33,160.06,190.79,26.02,140.93,2980.16,2154.08,779.31,243.49,11.46,766.14,116.71,1594.33,4.41,0.73
28020.93,48.59,447.78,207.51,28.51,214.25,3905.93,1691.25,415.13,139.72,227.2,466.32,54.02,1468.96,4.87,0.55
29327.6,77.64,478.2,185.62,20.46,234.47,6512.07,2438.36,513.19,14.62,121.79,531.97,43.61,971.55,3.24,0.15
29647.06,84.21,255.28,140.61,6.5,212.51,2107.44,2667.37,218.33,111.67,160.34,689.69,42.84,1424.15,3.16,0.29
28366.75,92.66,285.14,191.73,6.73,231.45,1854.3,2055.41,795.31,24.53,3.78,640.73,54.46,1169.76,4.04,0.54
21333.1,51.88,303.44,134.34,11.11,183.98,4631.32,1656.62,440.29,25.34,102.12,508.98,99.51,841.75,3.88,0.5
28832.6,88.3,517.98,216.08,22.03,80.78,3191.19,1172.75,660.63,25.08,149.63,794.74,75.93,1246.82,2.48,0.43
29174.91,117.19,470.11,206.06,14.92,96.64,5539.78,926.24,611.27,39.71,122.0,654.12,105.64,913.07,6.2,0.62
28024.42,52.21,421.31,77.99,31.34,218.64,1811.0,1052.31,543.14,102.91,242.3,513.98,91.02,1095.24,3.06,0.17
28319.73,89.48,458.6,247.8,38.93,114.78,3917.7,3484.12,884.24,19.1,32.48,799.12,81.21,1208.86,9.09,0.19
28505.49,109.65,202.13,218.48,10.58,132.7,2171.73,2741.75,541.26,174.86,292.24,818.61,56.88,1548.12,5.76,0.17
28584.73,69.11,280.08,64.99,39.21,115.55,5208.79,3010.69,325.26,154.85,132.21,676.37,132.45,1426.12,8.32,0.76
21991.41,60.43,362.22,106.49,12.04,189.84,1147.65,2132.97,346.42,105.04,5.68,555.79,89.25,1145.22,2.3,0.16
28629.25,84.05,497.71,165.65,19.53,242.1,6541.78,1380.83,552.56,104.07,95.04,474.96,46.23,1545.83,9.35,0.3
28275.37,79.3,500.07,225.77,31.4,93.54,2675.13,1416.09,329.67,156.78,1.81,565.39,63.72,1097.6,8.23,0.1
28721.37,108.13,510.58,200.79,23.35,121.28,2837.81,1352.52,216.22,47.78,101.53,639.26,122.12,1047.18,2.38,0.46
28255.24,77.77,308.7,145.17,25.31,108.67,3067.57,1438.04,341.04,75.28,34.74,451.79,61.7,1316.42,2.13,0.21
28910.28,88.03,188.74,131.79,11.63,126.58,5261.03,1378.14,777.79,14.09,206.16,463.54,52.83,1406.66,3.4,0.66
28780.17,84.97,431.67,106.24,19.01,169.09,6478.01,932.69,327.94,210.73,37.64,592.04,60.37,1395.79,7.84,0.18
21717.42,54.57,123.32,91.08,23.23,183.66,1373.39,981.42,347.9,83.74,161.75,443.67,67.01,781.28,3.07,0.19
29679.82,65.79,271.38,213.24,5.05,81.18,6542.67,2924.32,597.84,78.09,84.72,647.13,125.35,1165.19,3.26,0.66
28922.5,64.45,509.33,79.24,33.94,210.91,6293.42,3167.7,668.92,26.17,139.94,490.48,60.46,1303.65,3.51,0.64
28797.7,107.42,306.07,243.13,22.93,198.44,5263.93,1178.96,750.61,29.99,149.94,759.29,93.89,1511.94,9.97,0.11
28434.12,101.38,293.18,62.34,33.36,96.02,3515.53,1785.19,735.1,130.64,82.66,788.73,75.11,1264.28,4.86,0.47
28494.48,95.51,152.52,82.11,29.53,142.12,6258.58,3088.45,439.5,201.2,120.94,848.37,123.27,1348.52,4.65,0.58
29122.77,86.83,403.04,153.09,34.09,239.05,6589.1,1437.09,178.3,247.64,120.36,689.42,135.51,1369.06,4.66,0.72
22220.02,63.73,217.42,185.97,25.93,106.53,3933.02,1601.89,312.8,148.29,139.18,532.3,77.93,1021.98,2.3,0.47
29685.76,68.67,324.07,60.72,22.33,247.93,4066.42,1624.48,301.45,78.66,81.02,528.78,45.53,946.34,8.95,0.23
29187.7,83.61,515.85,88.22,31.04,251.25,4370.31,815.97,894.24,43.98,94.56,596.95,35.07,1324.25,7.37,0.53
28284.35,85.84,442.52,128.48,22.21,212.09,3521.18,2020.52,735.85,49.92,260.93,738.76,62.7,1109.56,8.31,0.72
28752.57,111.97,355.08,204.4,20.07,84.5,3855.97,1125.93,547.76,44.32,7.58,451.13,73.17,1124.96,5.64,0.47
27941.2,83.6,447.29,197.86,18.71,179.45,4215.41,3229.5,714.11,108.91,17.92,836.99,115.86,906.31,6.99,0.45
28363.24,86.79,168.63,212.42,18.31,255.81,6235.59,1678.4,521.77,48.82,50.74,538.67,69.43,1313.08,9.45,0.25
20975.54,65.56,172.33,127.51,26.47,153.61,1191.32,2502.07,625.15,129.64,114.57,374.93,64.9,725.41,1.69,0.22
28500.9,87.65,370.0,234.49,6.75,204.13,4933.4,3168.44,590.14,122.92,201.75,652.56,49.51,1054.91,5.92,0.24
29197.53,103.91,432.9,141.3,9.29,124.71,5911.42,2571.12,431.17,156.36,267.15,667.52,89.33,1583.03,9.39,0.38
28417.7,90.21,262.91,179.53,31.07,138.58,4069.25,1110.84,565.26,12.12,64.02,622.3,41.53,1163.19,4.69,0.63
28112.93,84.39,289.44,179.1,11.76,257.49,4087.97,1474.68,546.53,204.4,107.84,723.8,95.44,1117.79,3.49,0.48
27673.35,68.06,146.34,203.64,10.99,168.61,4877.97,3012.84,209.41,64.41,63.29,820.09,53.32,987.09,6.38,0.63
27786.41,78.74,151.68,76.82,24.39,259.62,4452.23,2151.86,163.32,245.08,240.97,702.17,68.78,1287.73,8.4,0.45
21947.85,89.56,194.23,140.43,18.17,112.14,3721.44,2027.58,520.59,158.7,16.22,420.14,26.3,916.3,6.63,0.44
29237.65,54.18,479.36,164.45,28.32,142.05,2023.91,3336.36,531.97,213.62,167.83,831.13,96.43,1436.94,8.69,0.69
27658.1,115.97,157.19,182.62,10.31,182.69,1985.73,1451.43,549.97,84.22,265.31,726.1,135.32,1085.74,5.87,0.36
28710.23,75.79,221.55,113.26,38.83,138.77,6534.6,2835.25,201.0,48.39,33.34,814.45,113.89,1373.52,7.23,0.21
28891.09,102.7,332.12,211.25,39.34,137.88,2539.61,905.65,569.8,119.71,14.12,820.15,113.93,1467.31,6.23,0.17
28300.4,112.43,363.01,245.1,11.73,94.04,3195.99,2239.7,429.71,24.27,254.01,628.14,89.19,967.14,4.35,0.4
27944.01,60.2,273.67,147.84,34.53,172.46,4653.55,863.28,182.78,57.7,157.63,749.93,115.65,1212.03,4.14,0.66
21652.49,44.41,200.41,78.78,26.54,194.26,4808.37,2093.89,267.68,49.21,214.9,482.45,69.53,967.91,6.07,0.47
27972.37,58.29,424.15,163.07,5.61,201.86,2925.75,3225.05,350.4,173.08,197.08,841.41,49.91,1364.0,6.44,0.66
28666.98,70.53,192.35,97.4,21.68,189.36,4393.38,2755.24,220.4,183.02,43.19,804.06,91.96,1283.44,9.34,0.72
29331.89,89.71,488.83,116.33,19.04,135.39,4227.39,3328.49,359.0,93.57,196.63,565.87,111.66,920.53,2.56,0.31
28706.88,117.61,273.99,98.24,17.35,158.46,5081.37,2903.4,454.87,124.51,187.75,535.76,39.48,1061.59,6.46,0.58
28987.74,90.85,264.79,67.81,22.49,221.76,2603.02,3041.5,420.22,135.46,204.32,665.75,79.24,924.04,7.44,0.67
28052.78,86.56,483.63,106.63,11.52,132.22,2486.82,1573.67,756.92,245.99,195.31,513.35,90.74,1288.77,5.96,0.62
21566.35,87.99,255.32,55.16,19.37,142.81,2722.3,2563.54,164.0,160.85,93.88,629.64,86.08,852.01,1.75,0.31
28750.92,89.27,150.07,199.26,15.19,96.34,1937.2,1681.07,235.26,16.57,164.86,690.37,94.96,1316.85,6.8,0.11
27785.09,118.41,235.93,141.89,25.45,235.49,4044.21,1414.5,690.73,165.84,64.55,721.26,116.87,994.64,8.24,0.22
28130.8,45.42,438.78,78.2,6.64,155.84,1525.18,1345.19,333.12,103.93,65.46,568.46,34.58,1487.78,6.42,0.17
28574.94,91.45,430.71,204.57,11.27,177.99,2664.11,3467.97,478.1,243.91,215.12,669.45,59.79,1409.69,3.39,0.8
27790.46,51.68,132.65,247.0,19.58,113.27,5756.22,2251.94,649.94,16.74,226.61,669.61,116.06,1338.93,3.79,0.71
28401.89,86.7,232.01,170.77,32.83,97.16,6290.74,1754.11,751.11,165.21,198.1,748.48,69.09,1424.0,7.17,0.76
22359.48,49.01,100.32,184.9,5.25,97.69,3154.87,1160.33,663.67,34.42,94.0,407.19,21.9,967.33,2.44,0.52
29567.12,99.86,312.96,244.8,36.29,222.79,5093.27,2950.68,615.64,38.31,36.27,516.31,41.57,975.59,8.32,0.78
29774.37,91.25,421.32,76.17,32.1,256.26,1925.38,1264.06,639.86,171.31,2.27,564.38,71.64,1154.09,7.03,0.52
29542.46,66.56,375.85,203.96,32.36,211.22,4040.72,1361.04,535.38,206.18,161.27,649.59,88.09,1111.49,9.45,0.15
30652.96,96.79,455.8,131.85,9.69,184.91,2681.21,1465.42,796.58,127.79,292.99,738.4,45.67,912.65,6.76,0.67
30473.48,54.34,337.46,160.99,6.38,179.98,6982.22,2284.92,820.24,44.97,19.44,525.94,79.26,1491.25,2.07,0.43
30477.4,93.01,502.09,214.59,35.88,210.76,6518.3,3066.07,514.35,136.27,122.02,691.1,79.71,1204.93,5.06,0.17
23086.34,72.66,156.02,113.66,23.58,171.42,4501.15,864.32,388.69,48.44,192.1,417.13,80.9,691.88,6.91,0.47
29402.58,87.19,351.2,203.93,20.94,82.06,1761.77,3004.47,827.92,123.18,155.33,622.48,69.57,1280.71,4.66,0.78
29064.09,103.6,423.11,109.27,28.01,170.4,3880.35,2046.8,580.08,92.97,14.15,798.17,146.48,1058.67,7.95,0.63
30792.57,58.77,462.48,209.4,5.57,175.61,2873.1,1310.62,888.67,37.06,286.97,513.77,70.01,1008.49,2.78,0.73
30125.68,96.26,458.08,115.65,9.17,222.58,3980.84,1555.18,460.24,91.66,225.47,837.16,149.8,1073.0,3.64,0.14
29535.65,86.98,458.96,80.1,21.31,232.29,5215.39,3369.84,457.0,96.24,167.34,682.66,48.92,1402.65,8.89,0.14
30269.44,112.72,505.73,128.77,37.49,84.57,1556.44,2222.27,802.09,170.43,177.55,813.72,95.71,1264.78,7.23,0.3
22735.14,66.0,355.06,55.12,27.85,140.79,3652.1,1997.9,507.46,28.28,56.39,610.33,111.34,868.7,5.87,0.09
29385.04,91.37,308.7,80.34,28.34,140.12,5534.6,1717.5,756.35,75.04,142.2,487.49,91.16,1452.15,8.76,0.45
30420.21,76.7,138.84,77.39,25.46,129.74,6564.94,1009.48,633.0,31.98,148.13,803.67,90.11,1194.81,2.22,0.24
29631.71,119.17,306.87,213.44,28.34,226.08,1714.96,2799.01,675.45,3.31,225.64,530.12,32.91,1084.05,2.27,0.13
30132.65,107.0,166.37,114.16,28.17,176.27,1863.99,1542.95,456.32,222.12,259.24,507.5,100.46,998.77,2.34,0.45
29380.68,71.68,290.64,102.15,17.63,169.3,5918.78,3418.1,873.43,212.06,51.65,502.26,81.64,1017.27,6.11,0.42
29919.6,66.86,131.52,129.82,13.47,210.75,5771.54,1508.63,700.01,87.46,163.61,686.67,74.87,1574.2,5.43,0.71
22887.77,44.51,165.28,167.57,27.87,79.3,2487.09,1879.37,368.17,134.06,9.72,515.73,37.33,758.02,3.56,0.41
29951.95,108.89,509.53,193.85,30.0,105.5,5205.88,3007.9,840.11,112.79,234.98,476.43,49.17,1380.52,3.0,0.65
30798.64,41.81,470.48,79.24,33.68,245.1,6428.24,2097.85,652.61,1.79,15.05,548.14,84.71,1518.69,8.64,0.48
30462.01,97.6,324.9,194.33,38.94,256.24,1939.99,2723.71,756.67,72.07,156.08,762.64,131.93,1074.28,9.69,0.11
29538.14,49.97,418.85,96.33,10.66,95.64,3637.02,2018.92,677.98,151.1,202.85,602.23,34.78,1305.53,4.87,0.45
29986.2,91.34,369.58,104.18,21.85,123.26,4889.17,2172.13,795.72,185.66,260.92,553.87,88.72,1443.05,4.97,0.24
30617.7,91.37,393.09,209.02,10.95,114.07,3721.86,1003.99,391.45,243.43,18.12,774.66,91.82,1521.69,8.48,0.29
23092.64,54.56,252.2,65.99,15.29,119.4,2330.03,2181.66,441.1,30.04,46.54,337.82,57.28,989.02,4.16,0.54
30619.82,44.92,247.01,230.88,39.67,121.1,3764.33,2771.42,296.17,122.75,81.78,633.71,109.41,1065.38,6.5,0.76
390.82,96.78,331.06,203.62,14.93,103.58,1689.78,2378.7,369.09,140.43,97.54,655.94,33.65,1101.16,8.32,0.62
377.64,45.26,130.15,211.87,10.87,257.45,1724.25,2134.85,199.59,47.99,160.95,711.85,60.25,1353.4,4.61,0.17
372.43,72.0,416.21,244.28,14.18,181.37,4311.35,2696.02,801.16,84.52,158.8,634.49,40.18,1339.27,7.43,0.7
392.44,42.13,511.42,125.09,19.59,112.14,2693.73,2182.37,398.25,112.77,120.31,839.75,75.05,1448.9,9.39,0.16
376.62,49.58,341.53,190.3,11.95,251.54,2053.79,1250.83,333.28,235.29,131.59,745.54,88.57,947.87,4.88,0.25
293.51,83.68,171.71,61.98,28.25,135.81,5230.68,1124.86,471.61,99.47,69.35,607.99,47.68,1079.98,4.94,0.24
371.2,115.37,357.75,171.67,27.04,134.47,3639.01,994.75,468.73,245.12,251.5,572.48,107.94,1198.04,7.02,0.3
377.24,93.32,455.08,140.58,5.88,239.97,6349.12,2945.98,774.75,25.7,30.38,603.07,78.77,1500.89,8.47,0.77
374.34,112.86,149.4,68.0,35.23,130.79,6602.6,2816.03,823.86,150.09,90.28,816.32,44.18,1280.74,4.97,0.42
380.95,80.18,509.14,87.08,18.08,253.63,6770.42,2341.74,627.58,74.78,156.61,521.96,66.32,1216.36,5.57,0.58
371.84,99.7,443.91,102.15,6.88,253.29,3203.43,1847.13,294.74,123.94,100.23,513.65,82.07,1226.3,5.53,0.45
389.89,66.97,155.9,201.07,34.71,104.15,5168.15,2058.79,660.71,172.66,101.61,493.53,47.14,1060.81,6.95,0.22
281.08,86.97,236.81,166.21,5.9,121.45,2527.7,2456.75,658.47,63.68,1.67,564.85,44.24,763.87,2.23,0.35
381.81,53.93,247.35,66.11,30.61,174.57,2897.39,1815.35,396.15,161.3,262.05,719.91,72.91,1171.84,9.09,0.64
393.35,73.74,406.24,134.69,14.83,236.05,4539.97,1109.21,705.6,126.39,159.33,573.36,85.25,1103.48,6.75,0.42
390.44,89.65,424.73,247.16,30.46,192.23,2143.02,1609.77,183.62,217.43,262.06,548.27,65.96,1261.48,3.44,0.51
376.1,99.6,141.76,153.89,5.35,164.97,6464.1,1277.59,588.39,216.81,137.47,532.32,48.61,1436.58,2.56,0.46
371.19,52.07,502.39,162.39,14.67,150.48,4748.62,2335.86,225.13,71.71,230.29,827.04,116.0,1345.43,8.96,0.13
379.13,87.05,277.37,144.3,6.63,195.42,5778.74,3372.8,650.77,164.71,24.37,710.59,115.99,1106.86,4.47,0.39
294.55,33.28,97.88,60.54,25.72,76.6,1509.14,2369.25,148.04,101.42,3.99,532.67,80.85,826.26,5.56,0.53
391.27,97.73,407.25,115.22,6.13,131.48,1804.74,1342.79,761.7,240.75,69.22,478.1,40.28,1325.03,2.3,0.69
386.35,116.75,324.2,125.93,36.36,142.03,5694.27,2425.27,819.34,108.82,255.84,783.21,60.68,904.09,3.26,0.11
377.51,104.43,161.42,107.96,34.34,206.73,6027.55,1575.13,542.04,119.55,297.76,637.01,110.66,1567.98,3.08,0.7
379.29,104.21,193.26,111.29,20.86,98.91,2234.21,1240.28,419.55,231.08,245.77,756.01,122.96,1442.72,9.35,0.27
381.01,77.07,243.78,127.5,29.11,180.17,5934.71,1025.91,489.1,27.21,298.03,782.14,116.74,1343.35,6.52,0.52
372.62,42.73,231.99,89.52,30.0,214.01,4341.73,872.26,449.32,169.57,116.21,630.99,35.02,1559.6,6.71,0.78
278.08,62.58,360.83,80.45,15.19,167.91,4928.55,938.33,181.87,177.43,112.81,557.61,40.82,754.08,6.63,0.59
393.44,72.58,146.79,166.89,30.02,85.95,4290.69,1739.85,679.71,55.73,214.99,797.89,86.28,1202.41,5.51,0.39
372.21,97.03,356.38,216.32,35.87,218.04,5600.92,3112.6,362.39,200.24,181.97,502.72,55.02,1588.85,4.95,0.76
386.37,77.74,417.92,145.54,39.15,210.67,1694.38,1375.78,245.64,236.44,89.43,843.96,56.6,1406.25,2.97,0.38
387.29,42.25,455.15,177.48,25.18,132.68,5438.22,952.1,306.94,104.23,34.17,708.93,48.11,1075.0,9.54,0.31
984.55,82.26,217.74,238.74,38.0,162.48,5922.78,1243.9,485.15,203.36,12.34,545.74,64.34,1234.11,8.13,0.2
977.83,46.49,505.32,243.81,39.33,152.46,4272.82,2357.06,624.4,150.71,139.78,507.48,55.15,1327.78,3.87,0.39
706.23,52.84,134.13,130.44,16.2,111.06,3161.14,2549.04,215.47,93.91,96.72,418.69,69.71,1159.04,2.91,0.57
959.12,86.97,192.11,232.75,27.54,160.64,2748.18,3088.73,166.58,67.81,220.55,702.96,134.08,956.19,5.24,0.65
970.35,94.3,334.27,199.92,7.55,157.0,6902.04,3382.57,577.6,0.45,278.1,652.59,66.71,1247.78,9.65,0.19
958.37,68.97,492.13,197.32,20.44,249.74,2600.75,1793.01,317.92,69.16,179.42,520.68,67.71,1536.67,4.1,0.74
935.04,102.72,180.82,75.17,15.16,213.69,5862.56,2834.22,677.01,66.26,116.93,756.03,69.13,1233.24,5.54,0.55
934.61,68.41,488.93,129.77,24.29,81.2,2922.98,834.54,673.61,232.35,24.1,587.71,109.28,1069.15,6.01,0.18
946.52,84.49,190.65,74.3,22.9,257.53,1690.31,1936.1,165.81,45.15,202.51,558.49,58.36,1001.55,4.06,0.16
699.99,74.19,251.62,97.97,19.56,109.06,3547.65,1120.98,263.97,128.27,114.19,628.9,98.27,844.37,6.09,0.1
937.21,53.65,421.62,231.65,18.1,139.28,3722.8,3368.72,845.78,112.23,50.16,618.91,117.35,976.54,5.42,0.52
938.42,118.24,289.75,123.87,17.7,142.14,6608.92,2740.81,627.56,4.77,152.85,725.64,52.42,1390.55,5.33,0.48
943.08,47.7,352.34,103.02,6.0,80.7,5617.73,3206.63,295.65,219.27,93.26,523.71,86.71,1368.41,4.52,0.5
968.49,111.9,431.07,123.55,36.34,198.36,4078.84,1706.24,735.87,104.24,64.06,581.15,43.47,1218.09,6.95,0.49
977.08,43.22,446.42,167.75,16.48,84.14,5632.09,2892.98,456.55,51.06,2.35,846.52,145.65,961.54,9.9,0.65
929.8,50.55,277.2,110.39,27.33,167.42,2598.96,1326.29,569.96,48.74,62.34,560.74,50.44,1311.2,9.78,0.78
702.25,74.41,124.3,173.67,19.34,78.5,3882.6,928.2,668.51,49.99,118.17,389.29,59.67,803.76,5.75,0.53
954.53,84.27,497.44,161.26,36.88,147.51,4059.01,1707.79,700.41,163.46,192.05,670.64,70.91,948.12,7.66,0.28
966.22,109.92,414.98,205.25,12.7,113.23,6123.13,3181.82,364.14,230.69,221.15,573.54,96.76,1105.81,4.81,0.5
936.13,41.23,434.44,156.12,34.02,122.24,5746.99,3484.64,390.88,133.92,299.74,455.74,70.42,1282.34,4.73,0.65
965.52,117.35,252.77,99.3,17.09,156.26,1656.09,2455.28,824.78,192.09,5.42,492.83,39.37,1084.95,9.07,0.68
980.34,42.44,131.92,132.64,6.34,140.74,2638.85,1954.36,394.64,166.68,33.73,673.14,64.95,1539.11,7.88,0.53
940.42,78.89,322.67,202.65,36.17,235.55,5484.26,2456.95,723.28,111.57,64.33,637.21,107.6,1020.1,8.65,0.7
730.34,77.17,122.35,132.72,12.1,167.59,3823.17,2166.21,584.6,25.14,6.84,637.07,71.94,702.73,6.82,0.28
940.24,52.43,441.65,93.22,8.79,254.1,5760.96,3005.86,319.05,33.59,275.14,536.76,107.34,965.98,6.48,0.63
944.83,95.13,442.81,244.98,17.12,121.51,2658.12,1525.05,558.75,111.56,176.28,472.59,29.02,1036.88,2.4,0.52
964.59,114.43,475.71,160.93,29.3,201.04,3591.57,2011.06,640.85,75.57,150.42,551.1,77.11,1031.23,9.56,0.4
962.98,72.57,220.95,84.78,6.51,250.41,3972.98,3423.61,525.88,101.59,113.16,517.38,27.02,1324.53,7.35,0.68
932.36,110.9,170.08,229.67,5.11,174.32,3653.41,2296.84,257.93,105.29,43.45,494.87,93.74,901.54,7.28,0.34
933.54,42.38,229.42,161.38,10.34,253.65,5192.48,2783.76,784.31,175.84,128.71,573.1,55.79,915.1,8.93,0.32
732.9,71.89,158.33,108.99,10.78,138.9,2502.81,2181.75,182.47,87.2,199.35,441.07,58.27,987.18,3.12,0.13
1610.99,43.12,245.83,244.41,30.31,129.67,4655.54,1438.8,394.08,109.6,284.85,833.8,102.74,1135.03,2.19,0.26
1593.9,41.67,244.36,184.51,10.06,245.18,5995.4,3208.09,563.86,42.4,266.14,604.67,107.54,941.68,2.71,0.62
1608.25,88.93,230.83,237.95,10.03,185.74,2894.57,1890.52,199.04,161.33,129.89,637.57,115.09,1298.38,6.45,0.11
1594.48,40.36,426.67,100.11,25.01,149.62,6353.03,2979.67,603.43,170.77,52.91,840.58,126.54,1147.91,5.44,0.19
1620.73,64.84,430.58,167.73,12.82,104.62,5125.04,2805.18,745.56,35.6,23.8,534.29,74.16,1398.08,2.62,0.35
1619.71,93.57,343.6,142.65,23.87,186.8,3993.85,2628.29,840.96,113.9,128.93,688.28,42.38,1244.13,3.68,0.41
1212.8,53.16,236.58,170.5,10.93,158.68,1560.23,1204.88,515.15,45.42,120.19,457.15,69.46,811.2,1.83,0.45
1621.93,72.62,497.2,210.83,8.03,103.81,3680.52,1980.28,329.28,218.98,193.44,632.48,41.28,1224.07,4.65,0.11
1653.27,48.83,377.28,122.55,38.75,123.67,2150.13,2113.81,243.47,93.6,22.13,550.98,61.16,908.99,7.64,0.35
1618.84,56.78,320.28,169.55,21.28,89.81,2256.42,2883.0,224.07,83.39,5.72,497.69,29.53,1481.19,6.73,0.1
1627.32,56.44,173.19,151.35,19.36,105.4,5022.19,3382.87,373.81,23.91,195.54,557.84,58.93,1599.85,8.76,0.26
1662.06,41.87,499.56,133.99,39.17,83.68,4952.89,2428.81,789.37,67.31,248.35,611.73,106.54,1525.62,8.68,0.75
1625.05,57.09,509.18,86.32,7.98,248.41,1591.28,1152.19,845.17,214.37,105.9,585.13,58.89,1041.69,4.11,0.37
1186.08,63.02,93.51,60.89,4.63,77.04,1812.16,1149.24,227.53,130.87,19.72,549.07,48.59,715.97,2.32,0.29
1611.59,113.44,511.74,145.61,25.77,251.5,4788.99,3436.12,578.55,31.85,214.32,477.06,30.83,1350.88,5.16,0.24
1588.09,80.49,138.88,242.53,5.59,182.84,4763.91,2399.01,562.6,35.97,167.77,475.67,51.32,907.8,6.61,0.27
1655.34,83.21,461.14,135.85,21.85,160.07,6211.89,3094.96,424.83,128.97,178.98,623.05,81.61,963.39,9.83,0.37
1627.56,113.4,148.95,133.23,10.03,141.21,3598.47,2664.47,301.13,71.03,33.1,605.48,87.76,1566.02,6.82,0.29
1630.1,78.93,334.42,193.39,35.55,115.68,5038.97,1909.16,254.73,166.56,276.62,631.26,67.76,1021.39,7.03,0.34
